,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Size_type
0,28,1250000.0,3.0,3.0,2.0,Serviced Residence,1335.0,0,built-up 
1,14,6800000.0,6.0,7.0,0.0,Bungalow,6900.0,1,land area 
2,18,1030000.0,3.0,4.0,2.0,Condominium (Corner),1875.0,1,built-up 
4,9,900000.0,5.0,3.0,2.0,Condominium (Corner),1513.0,1,built-up 
5,46,5350000.0,6.0,5.0,4.0,Bungalow,7200.0,1,land area 
7,46,2600000.0,5.0,4.0,4.0,Semi-detached House,3600.0,1,land area 
8,46,1950000.0,5.0,4.0,3.0,2-sty Terrace/Link House (EndLot),1875.0,1,land area 
9,41,385000.0,3.0,2.0,1.0,Apartment (Intermediate),904.0,1,built-up 
11,46,1680000.0,4.0,3.0,0.0,2-sty Terrace/Link House (Intermediate),22.0,1,land area 
12,46,1700000.0,4.0,3.0,0.0,2-sty Terrace/Link House (Intermediate),1900.0,1,land area 
13,46,4580000.0,7.0,5.0,5.0,Bungalow (Intermediate),6000.0,1,land area 
15,46,3100000.0,5.0,3.0,0.0,Semi-detached House (Intermediate),3600.0,1,land area 
16,10,9000000.0,7.0,7.0,4.0,Bungalow (Corner),8500.0,1,land area 
17,14,4500000.0,6.0,7.0,0.0,Bungalow (Corner),4842.0,1,built-up 
18,30,1780000.0,5.0,4.0,2.0,Condominium (Corner),1830.0,1,built-up 
19,30,3450000.0,5.0,6.0,3.0,Condominium (Corner),3720.0,0,built-up 
20,16,1500000.0,5.0,4.0,2.0,Condominium (Corner),1798.0,1,built-up 
21,14,1550000.0,1.0,1.0,1.0,Serviced Residence (Intermediate),904.0,0,built-up 
22,30,1500000.0,4.0,4.0,3.0,Condominium,2163.0,0,built-up 
23,30,1450000.0,4.0,4.0,0.0,Condominium,2163.0,0,built-up 
24,5,490000.0,1.0,1.0,1.0,Serviced Residence,520.0,0,built-up 
26,9,610000.0,4.0,2.0,2.0,Condominium (Intermediate),1236.0,1,built-up 
28,18,1035880.0,4.0,4.0,1.0,Condominium (EndLot),1876.0,1,built-up 
29,30,1830000.0,3.0,4.0,0.0,Condominium (Intermediate),1668.0,1,built-up 
31,1,3300000.0,5.0,4.0,4.0,Condominium,3536.0,2,built-up 
32,23,560000.0,3.0,2.0,0.0,2-sty Terrace/Link House (Intermediate),880.0,1,land area 
33,1,460000.0,1.0,1.0,1.0,Serviced Residence,613.0,0,built-up 
35,28,2400000.0,2.0,2.0,1.0,Serviced Residence,1006.0,0,built-up 
36,30,2290710.0,5.0,4.0,0.0,Condominium,2767.0,3,built-up 
37,30,2284620.0,6.0,4.0,0.0,Condominium,2702.0,3,built-up 
39,20,1438000.0,5.0,4.0,3.0,Condominium (Corner),2378.0,1,built-up 
40,30,1720000.0,5.0,6.0,3.0,Condominium (Corner),2020.0,1,built-up 
41,28,3600000.0,4.0,4.0,0.0,Serviced Residence (Corner),3897.0,1,built-up 
42,28,4280000.0,4.0,4.0,2.0,Serviced Residence (Corner),2195.0,0,built-up 
43,28,2300000.0,1.0,2.0,1.0,Serviced Residence,1023.0,1,built-up 
44,14,4200000.0,6.0,5.0,5.0,Bungalow,5274.0,1,land area 
45,42,900000.0,6.0,5.0,3.0,3-sty Terrace/Link House (Intermediate),20.0,0,land area 
46,28,2700000.0,4.0,4.0,3.0,Serviced Residence (Corner),3095.0,0,built-up 
47,30,1080000.0,2.0,2.0,1.0,Serviced Residence,896.0,0,built-up 
48,30,1150000.0,3.0,2.0,2.0,Condominium (Corner),1200.0,1,built-up 
49,9,1070000.0,5.0,4.0,4.0,Condominium (EndLot),1772.0,1,built-up 
50,9,930000.0,4.0,3.0,2.0,Condominium (EndLot),1513.0,1,built-up 
52,5,780000.0,2.0,2.0,1.0,Serviced Residence (Corner),880.0,1,built-up 
53,28,4098000.0,4.0,3.0,2.0,Serviced Residence (Intermediate),2066.0,1,built-up 
55,25,1800000.0,2.0,2.0,1.0,Serviced Residence (Duplex),1244.0,0,built-up 
56,30,3600000.0,6.0,6.0,0.0,Condominium (Corner),4090.0,0,built-up 
57,30,2300000.0,5.0,5.0,2.0,Condominium (Corner),2702.0,1,built-up 
59,28,4000000.0,4.0,3.0,2.0,Condominium (Intermediate),2250.0,0,built-up 
60,1,4800000.0,5.0,6.0,3.0,Condominium,4300.0,1,built-up 
61,1,3780000.0,5.0,5.0,4.0,Condominium (Corner),3628.0,1,built-up 
63,5,850000.0,3.0,2.0,1.0,Serviced Residence,1050.0,0,built-up 
64,30,1850000.0,4.0,4.0,0.0,Condominium,2347.0,1,built-up 
65,28,1698800.0,2.0,2.0,1.0,Serviced Residence (Intermediate),1227.0,0,built-up 
66,42,999000.0,5.0,4.0,2.0,3-sty Terrace/Link House (Intermediate),2512.0,1,built-up 
67,27,3500000.0,1.0,1.0,1.0,Serviced Residence,1648.0,1,built-up 
68,28,1500000.0,2.0,2.0,1.0,Serviced Residence (Corner),1022.0,0,built-up 
69,28,2300000.0,1.0,2.0,1.0,Serviced Residence (Intermediate),1023.0,1,built-up 
70,30,1830000.0,4.0,4.0,2.0,Condominium (Corner),1830.0,1,built-up 
71,45,750000.0,4.0,3.0,3.0,2-sty Terrace/Link House,24.0,1,land area 
72,38,580000.0,5.0,2.0,2.0,Condominium (Corner),1550.0,1,built-up 
73,28,3000000.0,4.0,3.0,3.0,Serviced Residence,2066.0,3,built-up 
74,30,2180000.0,5.0,4.0,3.0,Condominium (Corner),3000.0,1,built-up 
76,28,2030000.0,4.0,5.0,2.0,Condominium,2356.0,0,built-up 
77,30,3450000.0,5.0,6.0,3.0,Condominium,3720.0,0,built-up 
79,12,4080000.0,5.0,5.0,2.0,Condominium (Corner),3713.0,1,built-up 
80,46,2880000.0,5.0,3.0,4.0,2-sty Terrace/Link House (Corner),4244.0,1,land area 
81,28,1799000.0,1.0,1.0,1.0,Serviced Residence,720.0,0,built-up 
83,28,1820000.0,3.0,2.0,2.0,Condominium (Corner),1159.0,0,built-up 
84,28,1000000.0,4.0,3.0,2.0,Serviced Residence (Corner),1313.0,1,built-up 
85,28,1650000.0,4.0,5.0,2.0,Condominium (Corner),1905.0,0,built-up 
87,28,2300000.0,1.0,1.0,2.0,Serviced Residence,1023.0,1,built-up 
88,30,2400000.0,5.0,5.0,3.0,Condominium,2702.0,1,land area 
89,28,2055000.0,2.0,1.0,1.0,Serviced Residence (Intermediate),797.0,1,built-up 
90,28,1714000.0,1.0,1.0,1.0,Serviced Residence (Intermediate),700.0,1,built-up 
91,9,620000.0,3.0,2.0,0.0,Condominium (Intermediate),1232.0,1,built-up 
92,9,1720000.0,7.0,7.0,0.0,2.5-sty Terrace/Link House (Intermediate),3033.0,2,land area 
93,28,2300000.0,4.0,4.0,3.0,Serviced Residence (Corner),3282.0,1,built-up 
94,9,920000.0,5.0,3.0,2.0,Condominium,1513.0,1,built-up 
95,28,2300000.0,1.0,1.0,2.0,Serviced Residence (Intermediate),1046.0,1,built-up 
96,46,4995000.0,6.0,7.0,6.0,Bungalow,8113.0,1,land area 
97,46,1630000.0,4.0,3.0,2.0,2-sty Terrace/Link House (Intermediate),1760.0,1,land area 
98,30,1850000.0,5.0,4.0,2.0,Condominium,1830.0,1,built-up 
100,28,1783000.0,2.0,2.0,1.0,Condominium,976.0,1,built-up 
101,18,1180000.0,4.0,4.0,1.0,Condominium (Intermediate),1942.0,1,built-up 
103,9,900000.0,5.0,3.0,2.0,Condominium (Corner),1513.0,1,built-up 
104,12,1700000.0,3.0,2.0,1.0,Serviced Residence (Intermediate),1442.0,0,built-up 
105,28,850000.0,1.0,2.0,0.0,Serviced Residence,761.0,0,built-up 
107,14,6800000.0,7.0,7.0,0.0,Bungalow,7000.0,3,land area 
108,30,3100000.0,5.0,6.0,3.0,Condominium (Corner),3400.0,0,built-up 
109,9,630000.0,2.0,2.0,2.0,Serviced Residence,791.0,1,built-up 
111,23,2040000.0,6.0,5.0,4.0,2.5-sty Terrace/Link House (Intermediate),32.0,1,land area 
112,28,1780000.0,1.0,1.0,1.0,Serviced Residence (Corner),728.0,0,built-up 
113,16,2850000.0,4.0,3.0,0.0,3-sty Terrace/Link House (Intermediate),3211.0,1,built-up 
114,16,1050000.0,3.0,2.0,2.0,Condominium,1389.0,1,built-up 
115,30,2600000.0,5.0,4.0,3.0,Condominium,3041.0,1,built-up 
116,5,630000.0,2.0,1.0,1.0,Serviced Residence,663.0,1,built-up 
117,28,3364000.0,3.0,2.0,2.0,Serviced Residence,1399.0,0,built-up 
118,9,978000.0,5.0,3.0,2.0,Condominium,1513.0,1,built-up 
119,28,3600000.0,4.0,5.0,2.0,Serviced Residence (Corner),3897.0,1,built-up 
120,28,3600000.0,4.0,5.0,2.0,Serviced Residence (Corner),3897.0,1,built-up 
121,28,2000000.0,1.0,1.0,1.0,Serviced Residence,1087.0,0,built-up 
122,30,1630000.0,5.0,4.0,2.0,Condominium,2065.0,1,built-up 
124,46,1280000.0,4.0,3.0,3.0,2-sty Terrace/Link House (Intermediate),1875.0,1,land area 
125,28,1250000.0,2.0,2.0,1.0,Condominium,736.0,1,built-up 
127,5,630000.0,2.0,1.0,1.0,Serviced Residence,650.0,0,built-up 
128,28,1350000.0,2.0,2.0,1.0,Serviced Residence,1050.0,0,built-up 
129,5,490000.0,1.0,1.0,1.0,Serviced Residence (Intermediate),500.0,0,built-up 
131,5,800000.0,2.0,2.0,1.0,Serviced Residence (Corner),825.0,1,built-up 
132,16,1980000.0,4.0,4.0,0.0,2-sty Terrace/Link House,2200.0,1,built-up 
135,28,1000000.0,1.0,1.0,1.0,Condominium (EndLot),657.0,0,built-up 
136,42,448800.0,3.0,3.0,1.0,Serviced Residence (Intermediate),1045.0,2,built-up 
137,14,4900000.0,6.0,6.0,0.0,Semi-detached House,3700.0,0,land area 
138,30,2480000.0,5.0,5.0,3.0,Condominium (Corner),3041.0,1,built-up 
139,27,2716000.0,4.0,4.0,2.0,Serviced Residence (Corner),2227.0,1,built-up 
140,27,1480000.0,4.0,3.0,0.0,Condominium (Corner),1544.0,0,built-up 
141,13,9500000.0,7.0,7.0,6.0,Bungalow (Corner),10000.0,1,land area 
142,28,8343600.0,3.0,3.0,2.0,Condominium (Intermediate),2454.0,3,built-up 
143,44,500000.0,2.0,2.0,1.0,Serviced Residence (Corner),715.0,1,built-up 
144,14,13800000.0,6.0,7.0,3.0,Bungalow (Corner),7500.0,1,land area 
145,16,3490000.0,5.0,5.0,0.0,3-sty Terrace/Link House (Corner),2850.0,1,land area 
146,16,2300000.0,4.0,3.0,2.0,2-sty Terrace/Link House (Intermediate),1826.0,1,land area 
148,28,3600000.0,4.0,4.0,0.0,Serviced Residence (Corner),3897.0,1,built-up 
149,30,2480000.0,5.0,5.0,3.0,Condominium,3041.0,2,built-up 
150,28,3500000.0,3.0,3.0,1.0,Serviced Residence,1560.0,0,built-up 
151,30,2200000.0,4.0,4.0,2.0,Condominium,2243.0,3,built-up 
152,46,1380000.0,4.0,3.0,2.0,2-sty Terrace/Link House,1800.0,0,land area 
153,28,3600000.0,4.0,4.0,2.0,Serviced Residence (Corner),3897.0,0,built-up 
154,16,2500000.0,5.0,6.0,0.0,3-sty Terrace/Link House (EndLot),1650.0,1,land area 
155,9,1060000.0,5.0,4.0,4.0,Condominium (Corner),1772.0,1,built-up 
156,9,900000.0,5.0,3.0,3.0,Condominium (Corner),1513.0,1,built-up 
157,28,1850000.0,3.0,1.0,1.0,Condominium (Corner),2174.0,1,built-up 
158,36,668000.0,4.0,3.0,3.0,Condominium (Corner),1345.0,0,built-up 
159,28,1050000.0,4.0,3.0,2.0,Serviced Residence (Intermediate),1313.0,0,built-up 
160,20,509000.0,2.0,2.0,1.0,Serviced Residence,797.0,3,built-up 
161,16,3170000.0,5.0,5.0,0.0,3-sty Terrace/Link House (Intermediate),4306.0,1,built-up 
162,16,3400000.0,6.0,6.0,0.0,3-sty Terrace/Link House (Intermediate),5448.0,2,built-up 
163,28,2998000.0,4.0,3.0,2.0,Condominium (Intermediate),3218.0,1,built-up 
164,28,2580000.0,4.0,3.0,2.0,Condominium (Intermediate),2809.0,1,built-up 
165,16,5600000.0,8.0,9.0,0.0,3.5-sty Terrace/Link House (Intermediate),7000.0,1,built-up 
166,16,1260000.0,3.0,3.0,0.0,Condominium (Intermediate),1485.0,1,built-up 
167,16,4950000.0,7.0,7.0,0.0,3.5-sty Terrace/Link House (Intermediate),2805.0,2,land area 
168,16,1990000.0,4.0,4.0,0.0,2-sty Terrace/Link House (Intermediate),2500.0,1,built-up 
169,23,920000.0,5.0,3.0,0.0,2-sty Terrace/Link House (EndLot),20.0,1,land area 
170,30,2100000.0,4.0,4.0,0.0,Condominium (Intermediate),2441.0,0,built-up 
171,28,1100000.0,2.0,2.0,1.0,Serviced Residence (Corner),880.0,0,built-up 
172,28,3600000.0,5.0,3.0,2.0,Serviced Residence (Penthouse),3897.0,1,built-up 
173,28,2900000.0,4.0,4.0,3.0,Condominium,2809.0,0,built-up 
174,36,670000.0,3.0,2.0,2.0,Condominium,1085.0,1,built-up 
176,16,1370000.0,4.0,3.0,0.0,Condominium,1572.0,1,built-up 
177,16,3480000.0,5.0,5.0,0.0,3-sty Terrace/Link House (Corner),3450.0,1,land area 
178,16,1350000.0,2.0,2.0,2.0,Condominium (Intermediate),1292.0,1,built-up 
179,28,2300000.0,1.0,2.0,1.0,Serviced Residence,1023.0,1,built-up 
180,28,1900000.0,2.0,2.0,1.0,Condominium,915.0,1,built-up 
181,28,1450000.0,2.0,2.0,2.0,Serviced Residence (Corner),1090.0,0,built-up 
182,28,1000000.0,1.0,1.0,0.0,Condominium (Studio),657.0,0,built-up 
183,28,1300000.0,1.0,1.0,1.0,Serviced Residence,925.0,1,built-up 
184,28,3600000.0,3.0,4.0,2.0,Serviced Residence (Corner),3897.0,1,built-up 
185,46,1630000.0,4.0,3.0,2.0,2-sty Terrace/Link House (Intermediate),1760.0,1,land area 
186,14,2100000.0,4.0,3.0,3.0,2-sty Terrace/Link House (Intermediate),1760.0,3,land area 
187,46,5350000.0,6.0,5.0,3.0,Bungalow,7200.0,1,land area 
188,9,1050000.0,5.0,4.0,4.0,Condominium,1772.0,1,built-up 
189,9,1200000.0,6.0,4.0,4.0,Condominium,1930.0,1,built-up 
190,9,900000.0,5.0,3.0,2.0,Condominium,1513.0,1,built-up 
191,14,2251800.0,3.0,4.0,2.0,Serviced Residence,1668.0,1,built-up 
192,9,998000.0,6.0,5.0,4.0,3-sty Terrace/Link House (EndLot),1650.0,1,land area 
193,30,1550000.0,4.0,4.0,2.0,Condominium,1496.0,1,built-up 
194,38,780000.0,3.0,3.0,2.0,Condominium (Corner),1368.0,1,built-up 
195,16,1380000.0,2.0,2.0,2.0,Condominium (Intermediate),1292.0,1,built-up 
196,16,1798000.0,4.0,3.0,2.0,3-sty Terrace/Link House (Intermediate),2200.0,1,built-up 
197,28,1300000.0,1.0,1.0,1.0,Serviced Residence,925.0,3,built-up 
198,28,1268000.0,3.0,3.0,1.0,Condominium (Corner),1619.0,0,built-up 
199,28,2600000.0,4.0,4.0,3.0,Condominium,2809.0,0,built-up 
200,28,4200000.0,4.0,4.0,2.0,Serviced Residence (Corner),2195.0,1,built-up 
201,28,3330000.0,3.0,3.0,1.0,Serviced Residence (Corner),2789.0,0,built-up 
202,28,2600000.0,2.0,2.0,1.0,Serviced Residence (Intermediate),1184.0,0,built-up 
203,28,1950000.0,2.0,2.0,1.0,Serviced Residence (Intermediate),1076.0,1,built-up 
204,46,1050000.0,3.0,2.0,2.0,1-sty Terrace/Link House (Intermediate),1920.0,3,land area 
205,36,900000.0,4.0,4.0,3.0,Condominium,1381.0,3,built-up 
206,23,638000.0,4.0,2.0,4.0,1.5-sty Terrace/Link House (EndLot),1890.0,1,land area 
207,28,1400000.0,2.0,2.0,1.0,Serviced Residence (Corner),1050.0,0,built-up 
208,23,850000.0,4.0,3.0,2.0,2-sty Terrace/Link House (Intermediate),1760.0,1,land area 
209,14,6500000.0,6.0,5.0,4.0,Bungalow,7200.0,1,land area 
210,30,1800000.0,4.0,4.0,2.0,Condominium,1830.0,1,built-up 
211,4,3800000.0,5.0,5.0,4.0,Bungalow (Corner),4067.0,1,built-up 
212,5,350000.0,1.0,1.0,1.0,Apartment,495.0,3,built-up 
214,46,1790000.0,4.0,3.0,0.0,2-sty Terrace/Link House (Intermediate),22.0,1,land area 
215,35,635000.0,4.0,4.0,2.0,Condominium (Corner),1643.0,1,built-up 
216,44,530000.0,2.0,2.0,0.0,Serviced Residence,715.0,3,built-up 
217,28,5070000.0,4.0,4.0,3.0,Serviced Residence (Corner),2142.0,1,built-up 
218,25,1207000.0,1.0,1.0,1.0,Serviced Residence (Intermediate),685.0,1,built-up 
219,25,1177000.0,2.0,1.0,1.0,Serviced Residence (Intermediate),717.0,1,built-up 
222,48,700000.0,3.0,2.0,2.0,Condominium,1152.0,1,built-up 
223,1,3710000.0,5.0,5.0,0.0,Condominium,3369.0,1,built-up 
224,30,1900000.0,4.0,4.0,0.0,Condominium,2411.0,0,built-up 
225,30,3785400.0,6.0,5.0,3.0,Condominium (Duplex),3907.0,1,built-up 
226,28,1300000.0,2.0,2.0,2.0,Condominium,871.0,0,built-up 
227,36,960000.0,4.0,4.0,2.0,Condominium (Corner),1488.0,2,built-up 
228,25,490000.0,4.0,2.0,2.0,Condominium,1065.0,2,built-up 
229,30,4200000.0,6.0,5.0,3.0,Condominium (Corner),3709.0,1,built-up 
230,28,1450000.0,2.0,1.0,1.0,Serviced Residence (EndLot),1050.0,0,built-up 
231,16,2380000.0,5.0,4.0,3.0,Condominium (Corner),2454.0,0,built-up 
232,16,1350000.0,4.0,3.0,2.0,Condominium (Corner),1389.0,3,built-up 
233,28,1800000.0,5.0,5.0,0.0,Condominium,2315.0,3,built-up 
234,9,1210000.0,6.0,6.0,4.0,3-sty Terrace/Link House (Intermediate),3400.0,1,built-up 
235,46,4995000.0,6.0,7.0,6.0,Bungalow (Intermediate),8113.0,1,land area 
236,30,1900000.0,5.0,4.0,2.0,Condominium (Corner),1830.0,1,built-up 
237,28,2700000.0,2.0,2.0,2.0,Serviced Residence,1195.0,1,built-up 
238,28,6300000.0,4.0,4.0,2.0,Serviced Residence (Corner),2195.0,1,built-up 
240,28,1900000.0,3.0,2.0,1.0,Condominium,915.0,0,built-up 
241,28,3000000.0,5.0,5.0,3.0,Condominium,3218.0,1,built-up 
242,38,240000.0,3.0,2.0,1.0,Condominium,850.0,3,built-up 
243,28,1300000.0,2.0,2.0,0.0,Condominium (Corner),871.0,0,built-up 
244,28,1000000.0,1.0,1.0,1.0,Condominium (EndLot),751.0,1,built-up 
245,28,1000000.0,1.0,1.0,1.0,Condominium (EndLot),751.0,1,built-up 
246,28,2000000.0,3.0,2.0,1.0,Serviced Residence (Corner),1350.0,0,built-up 
247,28,6380000.0,4.0,4.0,2.0,Serviced Residence (Corner),2195.0,1,built-up 
248,30,2480000.0,5.0,6.0,0.0,Condominium,2702.0,1,built-up 
249,6,676775.0,4.0,3.0,4.0,Serviced Residence (Intermediate),1265.0,1,built-up 
250,30,2280000.0,5.0,5.0,0.0,Condominium,2702.0,1,built-up 
251,30,1830000.0,5.0,4.0,2.0,Condominium (Corner),1830.0,1,built-up 
252,12,1750000.0,3.0,3.0,1.0,Serviced Residence,1442.0,1,built-up 
253,16,1780000.0,4.0,3.0,2.0,2-sty Terrace/Link House (Intermediate),2400.0,0,built-up 
254,23,3380000.0,5.0,4.0,0.0,Semi-detached House (Intermediate),4050.0,1,land area 
255,9,1200000.0,6.0,4.0,4.0,Condominium (Corner),1930.0,1,built-up 
256,28,2300000.0,1.0,2.0,1.0,Serviced Residence,1046.0,1,built-up 
257,28,2300000.0,1.0,1.0,2.0,Serviced Residence (Intermediate),1046.0,1,built-up 
258,30,1600000.0,4.0,3.0,2.0,Condominium,1878.0,1,built-up 
259,30,1291000.0,6.0,4.0,3.0,Condominium,2069.0,1,built-up 
260,28,880000.0,1.0,1.0,1.0,Serviced Residence,710.0,0,built-up 
261,20,655000.0,4.0,2.0,2.0,Serviced Residence (Corner),1094.0,1,built-up 
262,30,2150000.0,4.0,5.0,3.0,Condominium,2700.0,3,built-up 
263,30,1400000.0,4.0,4.0,2.0,Condominium,1496.0,1,built-up 
264,28,7975250.0,5.0,6.0,2.0,Serviced Residence (Penthouse),2975.0,0,built-up 
265,30,1100000.0,3.0,2.0,2.0,Condominium,1200.0,1,built-up 
266,28,1238000.0,2.0,2.0,1.0,Condominium,736.0,1,built-up 
267,5,750000.0,2.0,2.0,1.0,Serviced Residence (Intermediate),823.0,1,built-up 
268,14,2100000.0,4.0,4.0,2.0,Condominium (Corner),2153.0,1,built-up 
269,9,900000.0,5.0,4.0,0.0,Condominium,1513.0,3,built-up 
270,30,1500000.0,3.0,2.0,2.0,Condominium,1200.0,0,built-up 
271,30,2300000.0,5.0,6.0,3.0,Condominium (Corner),2702.0,1,built-up 
272,28,1000000.0,3.0,2.0,0.0,Serviced Residence,777.0,1,built-up 
273,28,990000.0,4.0,3.0,2.0,Serviced Residence (Corner),1313.0,0,built-up 
274,28,3960000.0,4.0,4.0,2.0,Serviced Residence (Corner),2195.0,1,built-up 
275,28,2700000.0,2.0,2.0,2.0,Serviced Residence (Corner),1184.0,0,built-up 
276,28,1900000.0,2.0,2.0,1.0,Serviced Residence (Intermediate),1087.0,0,built-up 
277,16,5460000.0,8.0,9.0,6.0,3.5-sty Terrace/Link House (Intermediate),7000.0,1,built-up 
278,28,2050000.0,4.0,5.0,2.0,Condominium,2356.0,0,built-up 
279,5,1121800.0,3.0,2.0,1.0,Serviced Residence,1200.0,0,built-up 
280,28,1506300.0,2.0,1.0,1.0,Serviced Residence (Intermediate),1020.0,0,built-up 
281,4,1530000.0,4.0,3.0,2.0,Condominium (Corner),2095.0,0,built-up 
282,0,3680000.0,7.0,8.0,4.0,Bungalow (Corner),6300.0,2,land area 
283,28,3600000.0,4.0,5.0,2.0,Serviced Residence (Corner),3897.0,1,built-up 
284,30,2300000.0,5.0,5.0,0.0,Condominium,2906.0,1,built-up 
285,40,14800000.0,6.0,6.0,4.0,Bungalow,8611.0,0,land area 
286,16,1480000.0,5.0,4.0,2.0,Condominium (Corner),1917.0,1,built-up 
287,5,1050000.0,3.0,2.0,2.0,Condominium (Intermediate),1485.0,0,built-up 
289,28,1200019.0,2.0,2.0,1.0,Condominium (Corner),577.0,1,built-up 
290,11,780000.0,5.0,4.0,0.0,Bungalow (Corner),5320.0,3,land area 
292,28,1999000.0,2.0,2.0,1.0,Serviced Residence (Intermediate),1271.0,3,built-up 
293,30,1820000.0,5.0,4.0,2.0,Condominium (Corner),1830.0,1,built-up 
294,1,3700000.0,5.0,5.0,2.0,Condominium (Corner),3628.0,3,built-up 
295,30,1420000.0,4.0,4.0,2.0,Condominium,1499.0,1,built-up 
296,30,1830000.0,5.0,4.0,2.0,Condominium,1832.0,1,built-up 
298,28,1680000.0,4.0,2.0,3.0,Condominium,1159.0,0,built-up 
299,28,2210000.0,3.0,3.0,2.0,Condominium,1502.0,0,built-up 
300,28,1420000.0,2.0,2.0,1.0,Condominium (Intermediate),976.0,0,built-up 
301,28,3600000.0,5.0,5.0,2.0,Serviced Residence (Corner),3897.0,1,land area 
302,28,1238000.0,2.0,2.0,1.0,Condominium,736.0,1,built-up 
305,28,1139000.0,1.0,1.0,1.0,Condominium,751.0,1,built-up 
306,28,2930000.0,2.0,2.0,2.0,Serviced Residence (Corner),1114.0,0,built-up 
307,16,1580000.0,3.0,3.0,0.0,3-sty Terrace/Link House (Intermediate),1900.0,1,built-up 
308,14,1620000.0,2.0,2.0,1.0,Serviced Residence,1194.0,1,built-up 
309,16,1300000.0,3.0,3.0,2.0,Condominium (Intermediate),1367.0,1,built-up 
310,13,8000000.0,7.0,7.0,6.0,Bungalow (Corner),10600.0,1,land area 
311,14,6500000.0,6.0,4.0,6.0,Bungalow (Corner),7880.0,1,land area 
312,16,2750000.0,4.0,4.0,0.0,2-sty Terrace/Link House (Intermediate),1958.0,1,land area 
313,16,2050000.0,4.0,4.0,0.0,2-sty Terrace/Link House (Intermediate),1650.0,1,land area 
314,16,1200000.0,2.0,2.0,0.0,Townhouse,1400.0,1,built-up 
315,4,1600000.0,3.0,2.0,2.0,Townhouse,2400.0,1,built-up 
316,16,1730000.0,4.0,3.0,2.0,Condominium (Corner),1690.0,0,built-up 
317,16,1500000.0,4.0,2.0,2.0,Condominium (Intermediate),1346.0,0,built-up 
318,16,2800000.0,4.0,4.0,0.0,3-sty Terrace/Link House (Intermediate),1302.0,1,land area 
319,16,3280000.0,5.0,4.0,0.0,Bungalow (Intermediate),3200.0,1,land area 
320,16,1500000.0,4.0,3.0,2.0,Condominium (Intermediate),1400.0,1,built-up 
321,16,5500000.0,7.0,8.0,0.0,3.5-sty Terrace/Link House (Intermediate),2805.0,1,land area 
322,16,1180000.0,3.0,3.0,2.0,Condominium,1507.0,1,built-up 
323,16,2300000.0,4.0,3.0,0.0,2-sty Terrace/Link House (Intermediate),1826.0,1,land area 
324,16,1990000.0,4.0,3.0,0.0,2-sty Terrace/Link House (Intermediate),1650.0,1,land area 
325,16,1950000.0,4.0,3.0,0.0,2-sty Terrace/Link House (Intermediate),2300.0,0,built-up 
326,28,2950000.0,4.0,4.0,2.0,Condominium (Corner),2674.0,1,built-up 
327,5,490000.0,1.0,1.0,1.0,Serviced Residence,520.0,0,built-up 
328,28,3090000.0,2.0,2.0,2.0,Serviced Residence,1572.0,1,built-up 
329,16,3600000.0,6.0,6.0,0.0,Semi-detached House (Corner),65.0,1,land area 
330,28,1230000.0,4.0,4.0,2.0,Serviced Residence (Corner),1378.0,0,built-up 
331,20,350000.0,3.0,2.0,1.0,Serviced Residence,950.0,1,built-up 
332,28,1230000.0,1.0,1.0,1.0,Serviced Residence (Intermediate),850.0,0,built-up 
333,16,1250000.0,3.0,2.0,2.0,Condominium (Intermediate),1303.0,1,built-up 
334,16,2500000.0,4.0,5.0,3.0,3-sty Terrace/Link House (EndLot),1364.0,1,land area 
335,16,1100000.0,3.0,3.0,2.0,Condominium (Intermediate),1378.0,2,built-up 
336,16,1980000.0,4.0,4.0,3.0,2-sty Terrace/Link House (Intermediate),1650.0,1,land area 
337,4,1300000.0,3.0,2.0,2.0,Townhouse (Intermediate),1320.0,1,land area 
338,45,2800000.0,5.0,6.0,4.0,Bungalow (Corner),5628.0,1,land area 
339,46,1050000.0,3.0,2.0,2.0,1-sty Terrace/Link House (Intermediate),1920.0,3,land area 
340,28,3600000.0,4.0,5.0,2.0,Serviced Residence (Corner),3897.0,1,built-up 
341,1,5900000.0,5.0,5.0,3.0,Condominium,4000.0,3,built-up 
342,28,3900000.0,2.0,2.0,2.0,Serviced Residence,1636.0,1,built-up 
343,28,1300000.0,1.0,1.0,1.0,Serviced Residence (EndLot),925.0,1,built-up 
344,28,1240000.0,1.0,1.0,0.0,Serviced Residence (Intermediate),850.0,0,built-up 
345,9,438000.0,3.0,2.0,1.0,Apartment (Corner),1018.0,1,built-up 
346,20,530000.0,4.0,2.0,1.0,Serviced Residence (Corner),900.0,1,built-up 
347,39,590000.0,3.0,2.0,2.0,Condominium (Intermediate),1196.0,1,built-up 
349,28,1000000.0,1.0,1.0,1.0,Condominium,751.0,1,built-up 
350,28,1900000.0,3.0,2.0,1.0,Condominium (Corner),915.0,1,built-up 
352,28,2400000.0,2.0,2.0,1.0,Serviced Residence,1006.0,0,built-up 
353,38,380000.0,4.0,2.0,2.0,Condominium,950.0,2,built-up 
354,28,1198000.0,2.0,1.0,1.0,Serviced Residence (Corner),764.0,0,built-up 
355,28,1000000.0,1.0,1.0,1.0,Condominium (EndLot),657.0,1,built-up 
356,4,12000000.0,7.0,6.0,4.0,Bungalow,11500.0,1,land area 
