,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Size_type
48175,9,730000.0,2.0,2.0,2.0,Serviced Residence (Corner),855.0,2,built-up 
48176,9,680000.0,2.0,2.0,2.0,Serviced Residence,791.0,2,built-up 
48177,20,750000.0,3.0,2.0,0.0,1-sty Terrace/Link House (Intermediate),1540.0,2,land area 
48178,11,288000.0,3.0,2.0,1.0,Apartment (Corner),780.0,2,built-up 
48180,30,2950000.0,5.0,5.0,3.0,Condominium (Corner),3668.0,1,built-up 
48181,30,2000000.0,4.0,3.0,2.0,Condominium (Corner),2535.0,3,built-up 
48182,38,380000.0,3.0,2.0,1.0,Condominium (Intermediate),1169.0,1,built-up 
48183,38,1230000.0,5.0,5.0,0.0,3-sty Terrace/Link House (Intermediate),1400.0,1,land area 
48184,28,4558000.0,6.0,6.0,4.0,Condominium (Corner),4427.0,1,built-up 
48185,11,530000.0,3.0,2.0,0.0,Condominium (Corner),1300.0,0,built-up 
48186,24,612470.0,1.0,1.0,2.0,Condominium,243900.0,1,land area 
48187,36,530000.0,3.0,2.0,2.0,Serviced Residence,948.0,2,land area 
48188,25,730000.0,1.0,1.0,1.0,Condominium (Intermediate),750.0,0,built-up 
48189,27,2500000.0,4.0,5.0,2.0,Serviced Residence,1787.0,0,built-up 
48191,11,308000.0,3.0,2.0,1.0,Condominium,1138.0,3,land area 
48192,11,925000.0,7.0,3.0,0.0,2-sty Terrace/Link House (Intermediate),1650.0,1,land area 
48193,3,3250000.0,6.0,5.0,0.0,Semi-detached House (Intermediate),4050.0,2,land area 
48194,6,408000.0,3.0,2.0,0.0,Serviced Residence,1125.0,3,built-up 
48195,45,1550000.0,6.0,3.0,6.0,Semi-detached House (Corner),5100.0,1,land area 
48196,0,950000.0,3.0,4.0,0.0,Townhouse (Corner),1500.0,2,land area 
48197,38,468000.0,3.0,2.0,2.0,Serviced Residence,1113.0,0,built-up 
48198,38,820240.0,4.0,4.0,2.0,Condominium (Corner),1869.0,1,built-up 
48199,18,1060000.0,4.0,3.0,2.0,Condominium,1875.0,3,built-up 
48200,10,16000000.0,6.0,6.0,0.0,Bungalow (Corner),9213.0,1,land area 
48201,20,380000.0,1.0,2.0,1.0,Serviced Residence,775.0,0,built-up 
48202,20,380000.0,1.0,2.0,1.0,Serviced Residence,775.0,1,built-up 
48203,28,1274000.0,2.0,1.0,1.0,Serviced Residence (Intermediate),910.0,0,built-up 
48204,28,1276000.0,2.0,1.0,1.0,Serviced Residence,880.0,0,built-up 
48205,28,1266500.0,1.0,1.0,1.0,Serviced Residence (Intermediate),850.0,0,built-up 
48206,42,490000.0,3.0,2.0,2.0,Condominium,1074.0,0,built-up 
48207,28,980000.0,2.0,2.0,1.0,Serviced Residence (Corner),700.0,0,built-up 
48208,28,950000.0,1.0,1.0,1.0,Condominium (EndLot),657.0,1,built-up 
48209,9,1100000.0,5.0,3.0,4.0,Condominium (Corner),1772.0,1,built-up 
48210,20,338000.0,3.0,2.0,0.0,Apartment,1000.0,1,built-up 
48211,30,1280000.0,3.0,2.0,0.0,Condominium (Corner),1200.0,1,built-up 
48212,28,1200000.0,1.0,1.0,0.0,Serviced Residence,569.0,0,built-up 
